Admin2,Province_State,Lat,Long_,Deaths,Combined_Key
Atchison,Kansas,39.53186,-95.30870026,0,"Atchison, Kansas, US"
Atchison,Missouri,40.43239,-95.42970639,0,"Atchison, Missouri, US"
Athens,Ohio,39.33426,-82.04278644,1,"Athens, Ohio, US"
Atkinson,Georgia,31.29634,-82.87545866,0,"Atkinson, Georgia, US"
Atlantic,New Jersey,39.47539,-74.65848483,6,"Atlantic, New Jersey, US"
Atoka,Oklahoma,34.37367,-96.03802487,0,"Atoka, Oklahoma, US"
Attala,Mississippi,33.08659,-89.57838564,0,"Attala, Mississippi, US"
Audubon,Iowa,41.68446,-94.90581859,0,"Audubon, Iowa, US"
Auglaize,Ohio,40.55999,-84.2242143,0,"Auglaize, Ohio, US"
Augusta,Virginia,38.16405,-79.12461614,0,"Augusta, Virginia, US"
Aurora,South Dakota,43.71758,-98.56050467,0,"Aurora, South Dakota, US"
Austin,Texas,29.88549,-96.27736949,0,"Austin, Texas, US"
Autauga,Alabama,32.53953,-86.64408227,1,"Autauga, Alabama, US"
Avoyelles,Louisiana,31.07796,-92.00079449,1,"Avoyelles, Louisiana, US"
Baca,Colorado,37.31941,-102.5603223,0,"Baca, Colorado, US"
Bacon,Georgia,31.55456,-82.45936528,0,"Bacon, Georgia, US"
Baker,Florida,30.3306,-82.28467476,2,"Baker, Florida, US"
Baker,Georgia,31.3267,-84.44218806,2,"Baker, Georgia, US"
Baldwin,Alabama,30.72775,-87.72207058,1,"Baldwin, Alabama, US"
Baldwin,Georgia,33.06882,-83.24701748,1,"Baldwin, Georgia, US"
Ballard,Kentucky,37.05843,-88.99427697,0,"Ballard, Kentucky, US"
Baltimore,Maryland,39.45785,-76.62911955,21,"Baltimore, Maryland, US"
Baltimore City,Maryland,39.30212,-76.61151012,17,"Baltimore City, Maryland, US"
Bamberg,South Carolina,33.21928,-81.05659969,0,"Bamberg, South Carolina, US"
Bandera,Texas,29.7462,-99.24598147,0,"Bandera, Texas, US"
Banks,Georgia,34.35607,-83.49644388,0,"Banks, Georgia, US"
Bannock,Idaho,42.67003,-112.2233311,0,"Bannock, Idaho, US"
Barber,Kansas,37.22886,-98.68460053,0,"Barber, Kansas, US"
Barbour,Alabama,31.86826,-85.3871286,0,"Barbour, Alabama, US"
Barbour,West Virginia,39.13072,-80.00350858,0,"Barbour, West Virginia, US"
Barnes,North Dakota,46.9358,-98.06605978,0,"Barnes, North Dakota, US"
Barnstable,Massachusetts,41.72981,-70.28854339,11,"Barnstable, Massachusetts, US"
Barnwell,South Carolina,33.26679,-81.43584352,0,"Barnwell, South Carolina, US"
Barren,Kentucky,36.9647,-85.93338945,0,"Barren, Kentucky, US"
Barron,Wisconsin,45.42373,-91.84833627,0,"Barron, Wisconsin, US"
Barrow,Georgia,33.99149,-83.71436292,3,"Barrow, Georgia, US"
Barry,Michigan,42.59514,-85.30834519,0,"Barry, Michigan, US"
Barry,Missouri,36.70979,-93.82919888,0,"Barry, Missouri, US"
Bartholomew,Indiana,39.20745,-85.89558181,4,"Bartholomew, Indiana, US"
Barton,Kansas,38.4789,-98.75636726,0,"Barton, Kansas, US"
Bartow,Georgia,34.23732,-84.83887523,15,"Bartow, Georgia, US"
Bastrop,Texas,30.10371,-97.31206354,1,"Bastrop, Texas, US"
